id,name,in_structure,out_structure
ug_route/165082,OSP:BUSP:C669158,pole/42143,mywcom_route_junction/21562
ug_route/165083,OSP:BUSP::10415607,st_struct_pedestal/70782,st_struct_pedestal/68468
ug_route/165084,OSP:BUSP:C661068,st_struct_pedestal/70710,st_struct_pedestal/67803
ug_route/165085,OSP:BUSP:C657819,st_struct_pedestal/68689,building/50361
ug_route/165086,OSP:BUSP:C643826,st_struct_pedestal/67233,st_struct_pedestal/69134
ug_route/165087,OSP:BUSP:C669699,mywcom_route_junction/21619,st_struct_pedestal/67421
ug_route/165088,OSP:BUSP:C651702,st_struct_pedestal/69573,building/49848
ug_route/165089,OSP:FBSP:C704957,st_struct_buried_splice_location/2684,mywcom_route_junction/21676
ug_route/165090,OSP:BUSP::15995445,pole/42692,building/51203
ug_route/165091,OSP:BUSP:C643825,st_struct_pedestal/69272,building/48803
ug_route/165092,OSP:FBSP::16865865,st_struct_pedestal/68965,pole/41003
ug_route/165093,OSP:BUSP::8587344,st_struct_pedestal/68288,st_struct_pedestal/70661
ug_route/165094,OSP:BUSP:C668516,st_struct_pedestal/68717,st_struct_pedestal/69148
ug_route/165095,OSP:BUSP::9466872,st_struct_pedestal/67373,st_struct_pedestal/69823
ug_route/165096,OSP:FBSP:C710030,mywcom_route_junction/21416,building/49506
ug_route/165097,OSP:FBSP:C656137,pole/41869,mywcom_route_junction/21506
ug_route/165098,OSP:BUSP:C654477,st_struct_pedestal/70187,st_struct_pedestal/69802
ug_route/165099,OSP:BUSP:C660490,st_struct_pedestal/67374,st_struct_pedestal/70387
ug_route/165100,OSP:BUSP:C659659,st_struct_pedestal/67629,building/48837
ug_route/165101,OSP:BUSP:C708250,st_struct_pedestal/68179,building/49837
ug_route/165102,OSP:BUSP::8061896,st_struct_pedestal/69706,st_struct_pedestal/70095
ug_route/165103,OSP:BUSP:C656642,st_struct_pedestal/67093,building/51206
ug_route/165104,OSP:BUSP:C648060,st_struct_pedestal/69467,building/49163
ug_route/165105,OSP:BUSP:C653579,st_struct_pedestal/68434,building/50701
ug_route/165106,OSP:BUSP:C651998,st_struct_pedestal/69165,building/51271
ug_route/165107,OSP:BUSP:C682187,st_struct_pedestal/70537,building/51297
ug_route/165108,OSP:FBSP:C666365,pole/40833,building/51216
ug_route/165109,OSP:BUSP:C651664,cabinet/2465,st_struct_pedestal/67903
ug_route/165110,OSP:BUSP:C667950,st_struct_pedestal/67822,st_struct_pedestal/69628
ug_route/165111,OSP:BUSP:C656916,st_struct_pedestal/70781,st_struct_pedestal/69683
ug_route/165112,OSP:BUSP:C659657,st_struct_pedestal/67629,building/48837
ug_route/165113,OSP:BUSP:C642304,st_struct_pedestal/67921,building/50084
ug_route/165114,OSP:BUSP:C708350,st_struct_pedestal/70656,building/48744
ug_route/165115,OSP:BUSP::8402708,mywcom_route_junction/21194,mywcom_route_junction/21303
ug_route/165116,OSP:BUSP::15126654,st_struct_pedestal/69628,st_struct_pedestal/67822
ug_route/165117,OSP:BUSP:C646906,st_struct_pedestal/67685,building/49404
ug_route/165118,OSP:BUSP::8384137,mywcom_route_junction/21706,building/49450
ug_route/165119,OSP:BUSP::8499677,st_struct_pedestal/67112,st_struct_pedestal/69653
ug_route/165120,OSP:BUSP:C668679,st_struct_pedestal/69147,building/48913
ug_route/165121,OSP:BUSP:C639457,st_struct_pedestal/68245,st_struct_pedestal/69572
ug_route/165122,OSP:BUSP::8397588,st_struct_pedestal/67176,st_struct_pedestal/68946
ug_route/165123,OSP:BUSP:C667967,st_struct_pedestal/67822,st_struct_pedestal/69628
ug_route/165124,OSP:BUSP:C641611,st_struct_pedestal/67279,building/51122
